9.264676953770678836e+01,0.000000000000000000e+00,8.600000000000000000e+01,8.600000000000000000e+01
9.287552699335545014e+01,0.000000000000000000e+00,8.300000000000000000e+01,8.300000000000000000e+01
9.241913619731930396e+01,0.000000000000000000e+00,7.800000000000000000e+01,7.800000000000000000e+01
9.450901616158029128e+01,0.000000000000000000e+00,8.500000000000000000e+01,8.500000000000000000e+01
9.571142094735103001e+01,0.000000000000000000e+00,9.000000000000000000e+01,9.000000000000000000e+01
9.264676953770678836e+01,0.000000000000000000e+00,8.200000000000000000e+01,8.200000000000000000e+01
9.669560008305644772e+01,0.000000000000000000e+00,7.000000000000000000e+01,7.000000000000000000e+01
1.039077028516822025e+02,0.000000000000000000e+00,6.900000000000000000e+01,6.900000000000000000e+01
1.077781903504554606e+02,0.000000000000000000e+00,8.200000000000000000e+01,8.200000000000000000e+01
1.175455888509654869e+02,9.000000000000000000e+00,9.500000000000000000e+01,9.500000000000000000e+01
1.834857972307754039e+02,3.800000000000000000e+01,9.200000000000000000e+01,9.200000000000000000e+01
2.491032346510526736e+02,6.300000000000000000e+01,9.100000000000000000e+01,9.100000000000000000e+01
3.515382096477472373e+02,8.700000000000000000e+01,8.700000000000000000e+01,8.700000000000000000e+01
5.224248393376243484e+02,1.060000000000000000e+02,8.400000000000000000e+01,8.400000000000000000e+01
4.761340307887209633e+02,1.100000000000000000e+02,8.400000000000000000e+01,8.400000000000000000e+01
3.687704748265583703e+02,1.090000000000000000e+02,8.500000000000000000e+01,8.500000000000000000e+01
2.336309840516084080e+02,1.070000000000000000e+02,8.500000000000000000e+01,8.500000000000000000e+01
2.101373655436254637e+02,9.800000000000000000e+01,8.500000000000000000e+01,8.500000000000000000e+01
1.573832151979454181e+02,8.400000000000000000e+01,8.200000000000000000e+01,8.200000000000000000e+01
1.408786083607076876e+02,7.800000000000000000e+01,8.100000000000000000e+01,8.100000000000000000e+01
8.934581575370297912e+01,7.200000000000000000e+01,8.300000000000000000e+01,8.300000000000000000e+01
8.647031823519300531e+01,6.400000000000000000e+01,8.300000000000000000e+01,8.300000000000000000e+01
8.490877749956874254e+01,6.100000000000000000e+01,8.100000000000000000e+01,8.100000000000000000e+01
8.510087880612886124e+01,6.100000000000000000e+01,8.100000000000000000e+01,8.100000000000000000e+01
